2016/10/10 23:36:23 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_IN 
2016/10/10 23:36:24 INFO  - jmeter.JMeter: Loading user properties from: C:\Mani\techlearning\JmeterMavenJenkins\target\jmeter\bin\user.properties 
2016/10/10 23:36:24 INFO  - jmeter.JMeter: Loading system properties from: C:\Mani\techlearning\JmeterMavenJenkins\target\jmeter\bin\system.properties 
2016/10/10 23:36:24 INFO  - jmeter.JMeter: Copyright (c) 1998-2015 The Apache Software Foundation 
2016/10/10 23:36:24 INFO  - jmeter.JMeter: Version 2.13 r1665067 
2016/10/10 23:36:24 INFO  - jmeter.JMeter: java.version=1.8.0_73 
2016/10/10 23:36:24 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2016/10/10 23:36:24 INFO  - jmeter.JMeter: os.name=Windows 10 
2016/10/10 23:36:24 INFO  - jmeter.JMeter: os.arch=amd64 
2016/10/10 23:36:24 INFO  - jmeter.JMeter: os.version=10.0 
2016/10/10 23:36:24 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2016/10/10 23:36:24 INFO  - jmeter.JMeter: Default Locale=English (India) 
2016/10/10 23:36:24 INFO  - jmeter.JMeter: JMeter  Locale=English (India) 
2016/10/10 23:36:24 INFO  - jmeter.JMeter: JMeterHome=C:\Mani\techlearning\JmeterMavenJenkins\target\jmeter 
2016/10/10 23:36:24 INFO  - jmeter.JMeter: user.dir  =C:\Mani\techlearning\JmeterMavenJenkins\target\jmeter\bin 
2016/10/10 23:36:24 INFO  - jmeter.JMeter: PWD       =C:\Mani\techlearning\JmeterMavenJenkins\target\jmeter\bin 
2016/10/10 23:36:24 INFO  - jmeter.JMeter: IP: 192.168.0.129 Name: AaravPC FullName: 192.168.0.129 
2016/10/10 23:36:24 INFO  - jmeter.services.FileServer: Default base='C:\Mani\techlearning\JmeterMavenJenkins\target\jmeter\bin' 
2016/10/10 23:36:24 INFO  - jmeter.services.FileServer: Set new base='C:\Mani\techlearning\JmeterMavenJenkins\src\test\jmeter' 
2016/10/10 23:36:25 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2016/10/10 23:36:25 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2016/10/10 23:36:25 INFO  - jmeter.save.SaveService: Using SaveService properties file version 1656252 
2016/10/10 23:36:25 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.8 
2016/10/10 23:36:25 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2016/10/10 23:36:25 INFO  - jmeter.save.SaveService: Loading file: C:\Mani\techlearning\JmeterMavenJenkins\src\test\jmeter\JmeterJenkinsIntegrationTest.jmx 
2016/10/10 23:36:25 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2016/10/10 23:36:25 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2016/10/10 23:36:25 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2016/10/10 23:36:25 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2016/10/10 23:36:25 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2016/10/10 23:36:25 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2016/10/10 23:36:25 INFO  - jmeter.JMeter: Creating summariser <summary> 
2016/10/10 23:36:25 INFO  - jmeter.engine.StandardJMeterEngine: Listeners will be started after enabling running version 
2016/10/10 23:36:25 INFO  - jmeter.engine.StandardJMeterEngine: To revert to the earlier behaviour, define jmeterengine.startlistenerslater=false 
2016/10/10 23:36:25 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2016/10/10 23:36:25 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2016/10/10 23:36:25 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2016/10/10 23:36:25 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2016/10/10 23:36:25 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2016/10/10 23:36:25 INFO  - jmeter.JMeter: Running test (1476138985979) 
2016/10/10 23:36:26 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : HelloworldTestCase 
2016/10/10 23:36:26 INFO  - jmeter.engine.StandardJMeterEngine: Starting 0 threads for group HelloworldTestCase. 
2016/10/10 23:36:26 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2016/10/10 23:36:26 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 0 ramp-up 0 perThread NaN delayedStart=false 
2016/10/10 23:36:26 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2016/10/10 23:36:26 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 2 : JenkinsPassingParam 
2016/10/10 23:36:26 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group JenkinsPassingParam. 
2016/10/10 23:36:26 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2016/10/10 23:36:26 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 2 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2016/10/10 23:36:26 INFO  - jmeter.threads.JMeterThread: jmeterthread.startearlier=true (see jmeter.properties) 
2016/10/10 23:36:26 INFO  - jmeter.threads.JMeterThread: Running PostProcessors in forward order 
2016/10/10 23:36:26 INFO  - jmeter.threads.ThreadGroup: Started thread group number 2 
2016/10/10 23:36:26 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2016/10/10 23:36:26 INFO  - jmeter.threads.JMeterThread: Thread started: JenkinsPassingParam 2-1 
2016/10/10 23:36:26 INFO  - jmeter.threads.JMeterThread: Thread is done: JenkinsPassingParam 2-1 
2016/10/10 23:36:26 INFO  - jmeter.threads.JMeterThread: Thread finished: JenkinsPassingParam 2-1 
2016/10/10 23:36:26 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2016/10/10 23:36:26 INFO  - jmeter.reporters.Summariser: summary =      0 in     0s = ******/s Avg:     0 Min: 9223372036854775807 Max: -9223372036854775808 Err:     0 (0.00%) 
